subtest_name,specific_subtest_id,age,education_level,gender,N,mean,SD,10th_perc,25th_perc,50th_perc,75th_perc,90th_perc
Trail making part A,39,30-39,College/Some college/Associate's,Female,10865,21.68,7.68,29,24,20,17,15
Trail making part A,39,30-39,Professional deg./Ph.D./Master's,Male,5287,20.59,6.82,27,23,19,17,15
Trail making part A,39,30-39,Professional deg./Ph.D./Master's,Female,6454,21.4,7.35,28,24,20,17,15
Trail making part A,39,40-49,HS/Some HS,Male,1744,25.62,11.87,35,28,23,20,17
Trail making part A,39,40-49,HS/Some HS,Female,2018,24.48,10.21,34,27,22,19,16
Trail making part A,39,40-49,College/Some college/Associate's,Male,8878,22.8,8.96,31,25,21,18,16
Trail making part A,39,40-49,College/Some college/Associate's,Female,13854,23.55,9.33,32,26,22,18,16
Trail making part A,39,40-49,Professional deg./Ph.D./Master's,Male,4849,22.15,7.44,29,25,21,18,16
Trail making part A,39,40-49,Professional deg./Ph.D./Master's,Female,7543,23.26,10.06,31,25,21,18,16
Trail making part A,39,50-59,HS/Some HS,Male,2143,27.88,14.14,38,30,25,21,19
Trail making part A,39,50-59,HS/Some HS,Female,4106,26.05,11.95,36,29,23,20,18
Trail making part A,39,50-59,College/Some college/Associate's,Male,9931,25.67,10.19,34,28,23,20,18
Trail making part A,39,50-59,College/Some college/Associate's,Female,23298,25.39,10.99,34,28,23,20,18
Trail making part A,39,50-59,Professional deg./Ph.D./Master's,Male,5053,25.32,11.27,33,27,23,20,18
Trail making part A,39,50-59,Professional deg./Ph.D./Master's,Female,11122,25.29,10.74,33,28,23,20,18
Trail making part A,39,60-69,HS/Some HS,Male,1347,30.72,15.9,42,34,27,23,21
Trail making part A,39,60-69,HS/Some HS,Female,3389,28.18,13.75,38,30,25,21,19
Trail making part A,39,60-69,College/Some college/Associate's,Male,8351,29.2,14.78,39,31,26,22,20
Trail making part A,39,60-69,College/Some college/Associate's,Female,18684,27.77,13.55,37,30,25,21,19
Trail making part A,39,60-69,Professional deg./Ph.D./Master's,Male,5612,28.72,14.72,38,31,26,22,20
Trail making part A,39,60-69,Professional deg./Ph.D./Master's,Female,10822,28.2,14.24,37,30,25,22,19
Trail making part A,39,70-99,HS/Some HS,Male,653,35.48,22.01,49,38,30,25,22
